Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Marius Vermeulen,M,B,Single-ply,59.5,55-59,60-69,Masters 3,105.05,120,,,,,,-210,210,-215,,210,,,,,,210,2,126.63,125.47,119.81,65.19,Yes,Netherlands,,IPF,IPF,2017-05-22,Lithuania,,Kaunas,World Bench Press Championships,Yes
Antonín Šota,M,B,Single-ply,54.5,50-54,50-59,Masters 2,121.4,125,,,,,,230,-235,-240,,230,,,,,,230,5,131.59,131.88,126.38,67.39,Yes,Czechia,,IPF,IPF,2007-09-12,Germany,,Schwedt,World Masters Bench Press Championships,Yes
Tamás Lakó,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,91.4,93,215,227.5,237.5,,237.5,140,147.5,152.5,,152.5,235,-247.5,252.5,,252.5,642.5,6,412.26,407.01,389.82,84.77,Yes,Hungary,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Pernilla Röhr,F,B,Raw,46.5,45-49,40-49,Masters 1,83.5,84,,,,,,72.5,-75,75,,75,,,,,,75,8,69.21,67.08,58.67,56.04,Yes,Sweden,,IPF,IPF,2019-05-18,Japan,,Tokyo,World Bench Press Championships,Yes
Cheng-Chiung Chen,M,SBD,Single-ply,19.5,20-23,19-23,Juniors,82.5,82.5,192.5,-202.5,-202.5,,192.5,107.5,-112.5,,,107.5,-237.5,-237.5,-237.5,,,,DQ,,,,,Yes,Taiwan,,IPF,IPF,1989-09-14,Sweden,,Nässjö,World Juniors Powerlifting Championships,Yes
A. Ali,M,B,Raw,,,,Open,66,67.5,,,,,,,,,,130,,,,,,130,3,101.86,102.08,99.19,73.74,Yes,UK,,IPF,IPF,1991-12-14,Germany,,Russelsheim,Disabled Bench Press World Championships,Yes
Larry Miller,M,B,Single-ply,43.5,40-44,40-49,Open,73.5,75,,,,,,-195,195,200,,200,,,,,,200,3,145.37,144.56,139.80,78.34,Yes,USA,,IPF,IPF,1998-12-11,Germany,,Amberg,World Bench Press Championships,Yes
Paul Rembauville,M,SBD,Raw,22,20-23,19-23,Open,72.94,74,220,230,235,,235,120,125,130,,130,260,272.5,-275,,272.5,637.5,3,465.71,463.33,448.22,94.30,Yes,France,,IPF,IPF,2019-07-22,Estonia,,Tartu,University Powerlifting Cup,Yes
Kristoffer Willebrand,M,SBD,Single-ply,28.5,24-34,24-39,Open,109.1,110,-320,-320,-320,,,-210,,,,,-310,,,,,,DQ,,,,,Yes,Sweden,,IPF,IPF,2004-11-09,South Africa,,Cape Town,Men's World Powerlifting Championships,Yes
Kuo-Pao Hsieh,M,B,Single-ply,,,,Open,69.6,75,,,,,,,,,,147.5,,,,,,147.5,9,111.24,111.02,107.62,60.71,Yes,Taiwan,,IPF,IPF,1995-06-25,Czechia,,Frydek-Mistek,World Bench Press Championships,Yes
Kelli Lowenberg,F,SBD,Raw,40,40-44,40-49,Masters 1,42.85,47,65,72.5,-75,,72.5,37.5,40,-42.5,,40,100,105,-110,,105,217.5,2,305.77,311.61,280.39,66.49,Yes,USA,,IPF,IPF,2014-06-01,South Africa,,Potchefstroom,World Classic Powerlifting Championships,Yes
Simon Chalk,M,B,Raw,28,24-34,24-39,Open,83.6,90,,,,,,,,,,147.5,,,,,,147.5,2,99.18,98.04,94.28,73.82,Yes,England,,IPF,IPF,1996-12-01,Denmark,,Silkeborg,World Disabled Bench Press Championships,Yes
Heather Ayles,F,SBD,Raw,44.5,40-44,40-49,Masters 1,56.66,57,90,100,115,,115,60,-65,-65,,60,120,135,140,,140,315,8,362.31,367.24,324.76,74.22,Yes,Canada,,IPF,IPF,2016-06-19,USA,TX,Killeen,World Classic Powerlifting Championships,Yes
Olivier Waymel,M,B,Single-ply,44.5,40-44,40-49,Masters 1,65.1,66,,,,,,-175,175,-180,,175,,,,,,175,2,138.53,138.98,135.14,77.03,Yes,France,,IPF,IPF,2011-04-13,Denmark,,Rodby,World Masters Bench Press Championships,Yes
Jarle Aaberg,M,SBD,Raw,62.5,60-64,60-69,Masters 3,102.92,105,-195,195,-205,,195,-140,-140,140,,140,205,215,227.5,,227.5,562.5,2,342.03,338.56,323.27,70.10,Yes,Norway,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Joanne Schaefer,F,B,Single-ply,43.5,40-44,40-49,Open,107.1,84+,,,,,,180,185,-190,,185,,,,,,185,3,153.91,151.31,128.91,89.61,Yes,Netherlands,,IPF,IPF,2011-05-25,Austria,,Soelden,World Bench Press Championships,Yes
