Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Mario Hochberg,M,B,Raw,40,40-44,40-49,Open,97,100,,,,,,,,,,200,,,,,,200,2,124.77,123.27,117.81,92.97,Yes,Germany,,WPPO,,2011-10-08,Netherlands,,Ulvenhout,ParaGamesBreda,Yes
Jan Kubosi,M,B,Raw,47,45-49,40-49,Open,95.9,97,,,,,,130,138,-145,,138,,,,,,138,11,86.54,85.48,81.72,64.50,Yes,Slovakia,,WPPO,,2017-05-04,Hungary,,Eger,World Cup,Yes
Brian Froggatt,M,B,Raw,,,,Open,90,90,,,,,,,,,,152.5,,,,,,152.5,8,98.61,97.36,93.31,73.53,Yes,New Zealand,,WPPO,,1992-09-03,Spain,,Barcelona,Paralympic Games,Yes
Vadim Bukshitskiy,M,B,Raw,32.5,24-34,24-39,O,99.4,100,,,,,,-125,130,-140,,130,,,,,,130,6,80.23,79.31,75.76,59.73,Yes,Ukraine,,WPC-UKR,WPC,2019-03-23,Ukraine,,Kyev,Kyev Championships,Yes
Pavlo Kushyk,M,SBD,Wraps,25.5,24-34,24-39,O,78.8,82.5,175,180,,,180,120,130,-140,,130,210,-230,-230,,210,520,4,361.80,358.44,345.60,73.91,Yes,Ukraine,,WPC-UKR,WPC,2012-03-17,Ukraine,,Kryvyi Rig,Ukrainian Championships,Yes
Fedir Verboviy,M,B,Multi-ply,35.5,35-39,24-39,O,110.3,125,,,,,,245,255,-270,,255,,,,,,255,1,150.87,149.94,143.32,77.48,,Ukraine,,WPC-UKR,WPC,2009-10-17,Ukraine,,Kryvyi Rig,Ukranian Cup,Yes
Alicia Price,F,SBD,Raw,53,50-54,50-59,Masters 2,68.45,69,125,132.5,-136.5,,132.5,-70,72.5,75,,75,145,150,-152.5,,150,357.5,1,366.13,361.26,318.60,74.40,Yes,Australia,,APLA,IPF,2024-06-08,Australia,NSW,,Nationals Series: Masters & Equipped,Yes
Dmitriy Panin,M,SBD,Single-ply,20.5,20-23,19-23,Open,51.8,52,,,,,200,,,,,115,,,,,200,515,1,495.07,507.41,499.81,83.36,Yes,Russia,,IPF,IPF,2001-04-22,Russia,NIZ,Nizhny Novgorod,Student's World Cup,Yes
Deep Singh Aman,M,SBD,Single-ply,,,,Sub-Juniors,126.25,125+,190,220,230,,230,95,102.5,-110,,102.5,190,210,230,-244,230,562.5,2,317.81,319.90,306.06,53.35,Yes,India,,IPF,IPF,2004-08-09,South Africa,,Pretoria,World Sub-Juniors & Juniors Powerlifting Championships,Yes
Roger Powell #1,M,SBD,Single-ply,49.5,45-49,50-59,Masters 1,60,60,,,,,180,,,,,105,,,,,205,490,3,413.58,417.91,408.09,70.42,Yes,England,,IPF,IPF,1986-10-03,Norway,,Sande,World Masters Powerlifting Championships,Yes
Phillippe Blanc,M,SBD,Single-ply,,,,Masters 1,90,90,,,,,240,,,,,137.5,,,,,257.5,635,5,410.59,405.38,388.52,70.07,Yes,France,,IPF,IPF,1989-08-11,Germany,,Frankfurt,World Masters Powerlifting Championships,Yes
Pernilla Röhr,F,SBD,Raw,43.5,40-44,40-49,Masters 1,71.72,72,-110,-110,-110,,,67.5,70,-72.5,,70,110,-117.5,,,110,,DQ,,,,,Yes,Sweden,,IPF,IPF,2016-06-19,USA,TX,Killeen,World Classic Powerlifting Championships,Yes
Norman Anderson,M,B,Single-ply,71.5,70-74,70-999,Masters 3,87.2,90,,,,,,140,-145,-150,,140,,,,,,140,4,92.01,90.87,87.21,48.18,Yes,England,,IPF,IPF,2006-04-19,USA,,Miami,World Masters Bench Press Championships,Yes
Sarah Walker,F,B,Single-ply,18.5,18-19,19-23,Juniors,86.3,84+,,,,,,-110,115,125,,125,,,,,,125,4,113.57,110.02,95.99,64.59,Yes,USA,,IPF,IPF,2015-05-20,Sweden,,Sundsvall,World Bench Press Championships,Yes
Katarin Kardosova,F,B,Single-ply,26.5,24-34,24-39,Open,89.1,90,,,,,,110,115,-120,,115,,,,,,115,5,102.98,99.79,86.82,58.75,Yes,Slovakia,,IPF,IPF,2002-12-05,Luxembourg,,Hamm,World Bench Press Championships,Yes
Frank Hausburg,M,SBD,Single-ply,26,24-34,24-39,Open,89.5,90,,,,,280,,,,,180,,,,,325,785,7,509.01,502.57,481.78,86.88,Yes,Germany,,IPF,IPF,1997-12-13,Czechia,,Prague,Men's World Powerlifting Championships,Yes
Yul Chepushtanova,F,SBD,Single-ply,20.5,20-23,19-23,Juniors,66.9,67.5,,,,,197.5,,,,,115,,,,,185,497.5,1,516.28,511.03,450.87,86.91,Yes,Russia,,IPF,IPF,2001-09-11,Bulgaria,,Sofia,World Juniors Powerlifting Championships,Yes
Vira Boboshko,F,SBD,Single-ply,16.5,16-17,14-18,Sub-Juniors,59.9,60,135,-142.5,-145,,135,75,82.5,-87.5,,82.5,135,-140,140,,140,357.5,2,396.72,399.09,352.62,66.47,Yes,Ukraine,,IPF,IPF,2010-09-27,Czechia,,Pilsen,World Sub-Juniors & Juniors Powerlifting Championships,Yes
Marek Radoka,M,SBD,Single-ply,22.5,20-23,19-23,Juniors,82.2,82.5,,,,,305,,,,,170,,,,,280,755,3,512.49,506.89,487.81,87.68,Yes,Poland,,IPF,IPF,1998-10-21,Hungary,,Györ,World Juniors Powerlifting Championships,Yes
Jari Martikainen,M,SBD,Single-ply,26.5,24-34,24-39,Open,132.2,125+,,,,,355,,,,,215,,,,,350,920,9,512.57,518.82,495.09,85.87,Yes,Finland,,IPF,IPF,2002-11-13,Slovakia,,Trencin,Men's World Powerlifting Championships,Yes
Tony Chard,M,SBD,Single-ply,41.5,40-44,40-49,Masters 1,115.22,125,225,245,-265,,245,-180,-180,180,,180,280,305,-320,,305,730,7,425.12,423.95,405.84,71.69,Yes,France,,IPF,IPF,2010-09-27,Czechia,,Pilsen,World Masters Powerlifting Championships,Yes
Ivan Yur'ev #1,M,D,Raw,18.5,18-19,19-23,Teen 18-19,72.6,75,,,,,,,,,,,140,-150,160,,160,160,1,117.25,116.68,112.90,,Yes,Ukraine,,UPC,UPC,2017-10-06,Ukraine,,Kyev,Ukrainian Cup,Yes
Vitaliy Visochin,M,B,Raw,22.5,20-23,19-23,Juniors 20-23,89.9,90,,,,,,140,145,-150,,145,,,,,,145,4,93.81,92.62,88.77,69.95,Yes,Ukraine,,UPC,UPC,2014-03-29,Ukraine,,Kyiv,Ukrainian Championships,Yes
Bogdan Sidoruk,M,D,Raw,23.5,24-34,24-39,Open,88.4,90,,,,,,,,,,,-160,170,180,,180,180,2,117.46,115.98,111.25,,,Ukraine,,UPC,UPC,2016-06-26,Ukraine,,Kovel,Volyn Oblast Bench Press & Deadlift Championships,Yes
Nazar Solyan,M,B,Raw,23.5,24-34,24-39,Open,82.3,82.5,,,,,,170,175,-180,,175,,,,,,175,2,118.71,117.40,112.98,88.28,,Ukraine,,UPC,UPC,2017-03-04,Ukraine,,Shepetіvka,Podillya Cup,Yes
